,0
366,5L41.DU
367,5L41.F
368,5L41.MU
369,5L42.F
370,5L44.DU
371,5L44.F
372,5L44.MU
373,5L45.BE
374,5L45.MU
375,5MVW.BE
376,5MVW.MU
377,5UK.F
378,5X60.DE
379,5X60.DU
380,5X60.F
381,5X60.HM
382,5X61.F
383,5X62.F
384,5XYE.BE
385,5XYE.DU
386,6580.MU
387,6AQQ.BE
388,6BSF.BE
389,6JT.F
390,6PSA.DU
391,6PSC.DU
392,6PSC.HM
393,6PSK.DU
394,6PSK.HM
395,6ZK0.BE
396,7070.BE
397,7070.MU
398,7GX1.MU
399,7GX3.BE
400,7GX4.BE
401,7GXD.BE
402,7GXQ.BE
403,7GXQ.MU
404,7SW1.F
405,7SW1.HM
406,7VNA.MU
407,7XC.F
408,837.F
409,8EI0.MU
410,8JF.F
411,91K.F
412,9405.SR
413,99Y0.MU
414,9WGA.DU
415,9WGA.F
416,9WGA.HM
417,9WGA.MU
418,^ARB-EU
419,^AUGZ-IV
420,^BNDX
421,^DRIV
422,^EBLU-EU
423,^EBLU-IV
424,^EVLMC
425,^FIXD
426,^LDSF
427,^NXTG
428,^ONEQ
429,^PNQI
430,^PRFZ
431,^PSCC
432,^PSCD
433,^PSCF
434,^PSCT
435,^QABA
436,^SLVO
437,^SPQQ
438,^UFO
439,^USOI
440,^VCLT
441,^VGIT
442,^VGSH
443,^VMBS
444,^VONE
445,^VTIP
446,^VTWO
447,A200.AX
448,A35.SI
449,A4H8.BE
450,A4HL.BE
451,A4HL.MU
452,A4HU.BE
453,A4XA.MU
454,A6C.F
455,A6C.HA
456,A6C.HM
457,AAA
458,AAAU
459,AADR
460,AAL1.BE
461,AAL1.F
462,AAL1.HM
463,AAL4.BE
464,AAL4.MU
465,AAXJ
466,AAXJ.MX
467,ABCH.SW
468,ABD6.BE
469,ABD6.DU
470,ABD6.F
471,ABD6.HA
472,ABD6.HM
473,ABD6.MU
474,ABDB.BE
475,ABDE.MU
476,ABEQ
477,ABNB.SW
478,ABTC.SW
479,ACCUKD.SW
480,ACDC.AX
481,ACES
482,ACEUKD.SW
483,ACIO
484,ACSG
485,ACSI
486,ACUUKD.SW
487,ACWF
488,ACWI
489,ACWIA.MI
490,ACWIA.SW
491,ACWIE.MI
492,ACWIE.SW
493,ACWIJ.SW
494,ACWIS.SW
495,ACWISD.SW
496,ACWIU.SW
497,ACWV
498,ACWX
499,ACZ.TO
500,ADFI
501,ADME
502,ADRE
503,AEB
504,AEEM.MI
505,AEEM.PA
506,AEEM.SW
507,AEF3.DU
508,AEF6.BE
509,AEF8.BE
510,AEF8.DU
511,AEF8.F
512,AEF8.HA
513,AEF8.HM
514,AEF8.MU
515,AEFH.BE
516,AEFH.DU
517,AEFH.HM
518,AEFH.MU
519,AEFX.F
520,AEJ.L
521,AEJ.MI
522,AEJ.PA
523,AEJL.L
524,AESR
525,AETF.AT
526,AETH-EUR.SW
527,AETH.SW
528,AFI1.DE
529,AFIF
530,AFK
531,AFLG
532,AFSM
533,AFTY
534,AFUB.HM
535,AGG
536,AGQ
537,AGT
538,AGZ
